"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","登录模块","错误的密码不能登录","0","0","1","0","0"
"","约课/上课模块","获取上课列表卡片位数据","0","0","1","0","0"
"","约课/上课模块","获取上课列表广告接口","0","0","3","0","0"
"","约课/上课模块","取消预约","0","0","1","0","0"
"","登录模块","不输入密码无法登录","0","0","1","0","0"
"","约课/上课模块","预约课程","0","0","1","0","0"
"","约课/上课模块","预约上课拉起时间页面数据","0","0","1","0","0"
"","约课/上课模块","上课/约课页面，课时卡片位跳转到课程列表","0","0","1","0","0"
"","约课/上课模块","获取当前可预约的时间","0","0","1","0","0"
"","登录模块","正确密码正常登录","0","0","1","0","0"
