"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 27 10:03:27 CST 2020","Fri Nov 27 10:03:27 CST 2020","64","","test_login","Test_Api_Login","","","test_error_password_login","错误的密码无法登录"
"passed","Fri Nov 27 10:03:28 CST 2020","Fri Nov 27 10:03:28 CST 2020","236","","test_yueke_shangke","Test_Courses","","","test_get_class_card_list","获取上课列表卡片位数据"
"passed","Fri Nov 27 10:03:28 CST 2020","Fri Nov 27 10:03:28 CST 2020","76","","test_yueke_shangke","Test_Courses","","","test_class_api_02","获取上课列表广告接口"
"passed","Fri Nov 27 10:03:29 CST 2020","Fri Nov 27 10:03:29 CST 2020","177","","test_yueke_shangke","Test_Courses","","","test_cancel_order","取消预约"
"passed","Fri Nov 27 10:03:27 CST 2020","Fri Nov 27 10:03:27 CST 2020","85","","test_login","Test_Api_Login","","","test_not_inpot_password_login","不输入密码无法登录"
"passed","Fri Nov 27 10:03:28 CST 2020","Fri Nov 27 10:03:29 CST 2020","384","","test_yueke_shangke","Test_Courses","","","test_Appointment_courses","预约课程"
"passed","Fri Nov 27 10:03:28 CST 2020","Fri Nov 27 10:03:28 CST 2020","85","","test_yueke_shangke","Test_Courses","","","test_time_page_data","预约上课拉起时间页面数据"
"passed","Fri Nov 27 10:03:27 CST 2020","Fri Nov 27 10:03:28 CST 2020","74","","test_yueke_shangke","Test_Courses","","","test_get_class_list_ad","获取上课列表广告接口"
"passed","Fri Nov 27 10:03:28 CST 2020","Fri Nov 27 10:03:28 CST 2020","184","","test_yueke_shangke","Test_Courses","","","test_class_card_into_courses_list","上课/约课页面，课时卡片位跳转到课程列表"
"passed","Fri Nov 27 10:03:28 CST 2020","Fri Nov 27 10:03:28 CST 2020","206","","test_yueke_shangke","Test_Courses","","","test_get_time_list","获取当前可预约的时间"
"passed","Fri Nov 27 10:03:28 CST 2020","Fri Nov 27 10:03:28 CST 2020","77","","test_yueke_shangke","Test_Courses","","","test_class_api_01","获取上课列表广告接口"
"passed","Fri Nov 27 10:03:27 CST 2020","Fri Nov 27 10:03:27 CST 2020","289","","test_login","Test_Api_Login","","","test_password_login","正确的密码可以正常登录"
